LAB_ID,AUPPB_NA,LATITUDE,LONGITUDE
C104032,2.3,33.02777,-107.2375
C104033,116.0,32.98277,-107.53638
C104034,62.9,32.72,-107.57195
C104035,38.9,32.58111,-107.72166
C104036,40.0,32.85666,-107.67889
C104037,134.0,32.63389,-107.59084
C104038,287.0,32.63389,-107.59084
C104039,22.8,32.72444,-107.57222
C104040,48.4,32.85722,-107.67944
C104041,141.0,32.92861,-107.71388
C105176,1.2,46.705,-68.70055
C105177,1.5,46.69611,-68.70194
C105179,2.7,46.64028,-68.68583
C105180,1.7,46.65778,-68.67528
C105182,1.7,46.7325,-68.75944
C105183,1.7,46.7325,-68.75944
C105184,1.7,46.64611,-68.87
C105185,1.9,46.64805,-68.86056
C105186,1.8,46.63889,-68.875
C105187,4.2,46.87138,-68.67611
C105188,0.28,46.86833,-68.67472
C105189,0.41,46.84889,-68.73555
C105190,1.1,46.85416,-68.62861
C105191,1.2,46.63583,-68.89166
C105192,0.91,47.01222,-68.405
C105193,0.53,47.01694,-68.41749
C105195,1.6,46.98916,-68.45777
C105196,0.96,46.97361,-68.45833
C105197,0.42,46.96777,-68.50944
C105198,0.81,46.98778,-68.50889
C105199,0.067,46.83944,-68.52472
C105200,0.46,46.83944,-68.52472
C105201,0.058,46.90722,-68.55611
C105202,2.2,46.91805,-68.53888
C105203,2.0,46.90278,-68.59667
C105204,0.15,46.85694,-68.60861
C105205,3.1,46.77666,-68.55667
C105206,3.6,45.88528,-68.65722
C105207,1.3,45.94111,-68.68611
C105208,0.041,45.95056,-68.68333
C105209,4.21,45.95778,-68.68166
C105210,0.49,46.59805,-68.65584
C105211,10.6,46.60027,-68.70027
C105212,1.4,46.57833,-68.73028
C105213,0.027,46.55916,-68.76
C105214,1.9,46.55694,-68.75611
C105215,0.5,46.55722,-68.81944
C105217,0.48,46.43916,-68.91722
C105218,0.9,46.4,-68.97056
C105219,0.017,46.705,-68.70055
C105221,0.13,46.70278,-68.70971
C106186,1.6,44.88556,-113.17027
C106187,8.73,44.88556,-113.17027
C106188,3.1,44.88556,-113.17027
C106189,7.3,44.88556,-113.17027
C106190,383.0,44.88556,-113.17027
C106191,387.0,44.88556,-113.17027
